run_id,series_id,series_title,status,width,height,recorded_quality,created_local,started_local,finished_local,queue_seconds,generation_seconds,end_to_end_seconds
01KZ44SVPHD64B08J0BV3F800R,01KZ4311VAK6AGC8MAA519M8TM,吹头发,SUCCEEDED,0,0,low,"2026-08-03 08:45:12,913","2026-08-03 08:46:11,338","2026-08-03 08:49:25,827",58.425,194.489,252.914
01KZ44WG4WM7R0H7698K57W44Z,01KZ44WG4VYKHZ2BCVZAENR2J0,你不对劲,SUCCEEDED,0,0,low,"2026-08-03 08:46:39,388","2026-08-03 08:48:22,652","2026-08-03 08:52:24,868",103.264,242.216,345.480
01KZ44YT4BFTD79N9D60W9V5HJ,01KZ44WG4VYKHZ2BCVZAENR2J0,你不对劲,SUCCEEDED,0,0,low,"2026-08-03 08:47:55,147","2026-08-03 08:49:25,830","2026-08-03 08:55:43,740",90.683,377.910,468.593
01KZ453F3S09D7N6MGEVJXBZZW,01KZ453F3SX49MSNBHJNH9BA54,咖啡馆恋人视角抓拍,SUCCEEDED,0,0,low,"2026-08-03 08:50:27,705","2026-08-03 08:50:33,589","2026-08-03 08:54:50,175",5.884,256.586,262.470
01KZ454ZQV6B0JX5Q1VBVKQ3CV,01KZ454ZQTCVAAFQBGXQBMTA8D,韩系柔雾,SUCCEEDED,0,0,low,"2026-08-03 08:51:17,499","2026-08-03 08:52:24,872","2026-08-03 08:55:54,133",67.373,209.261,276.634
01KZ455ZMK6CW82VDYC8VZMGBJ,01KZ455ZMJNWHBPXH40JWZZ6VA,日系 35mm 日常感,SUCCEEDED,0,0,low,"2026-08-03 08:51:50,163","2026-08-03 08:54:50,179","2026-08-03 08:57:37,510",180.016,167.331,347.347
01KZ45712BXF05ABMGTV1EP3KN,01KZ45712A97E31KNE0Q8W36CK,香港雨夜电影感,SUCCEEDED,0,0,low,"2026-08-03 08:52:24,395","2026-08-03 08:55:43,743","2026-08-03 08:59:58,528",199.348,254.785,454.133
01KZ45A5292YDZCWMKKHT4E13Q,01KZ44WG4VYKHZ2BCVZAENR2J0,你不对劲,SUCCEEDED,0,0,low,"2026-08-03 08:54:06,793","2026-08-03 08:55:54,137","2026-08-03 08:59:40,081",107.344,225.944,333.288
01KZ45AEJ6H3KD44T6NE1D0NTC,01KZ453F3SX49MSNBHJNH9BA54,咖啡馆恋人视角抓拍,SUCCEEDED,0,0,low,"2026-08-03 08:54:16,518","2026-08-03 08:57:37,517","2026-08-03 09:00:02,212",200.999,144.695,345.694
01KZ45ATBFE4K2ZZA4BN97WFHX,01KZ45712A97E31KNE0Q8W36CK,香港雨夜电影感,SUCCEEDED,0,0,low,"2026-08-03 08:54:28,591","2026-08-03 08:59:40,088","2026-08-03 09:03:50,597",311.497,250.509,562.006
01KZ45BAR5G9APH7N1EDVXW2G6,01KZ455ZMJNWHBPXH40JWZZ6VA,日系 35mm 日常感,SUCCEEDED,0,0,low,"2026-08-03 08:54:45,381","2026-08-03 08:59:58,532","2026-08-03 09:04:08,788",313.151,250.256,563.407
01KZ589VBJ5ZZSTPQEHC4HGTS0,01KZ454ZQTCVAAFQBGXQBMTA8D,韩系柔雾,SUCCEEDED,0,0,low,"2026-08-03 19:05:37,010","2026-08-03 19:05:37,013","2026-08-03 19:09:02,143",0.003,205.130,205.133
01KZ58H2QK549G87AAXAWT3H1A,01KZ454ZQTCVAAFQBGXQBMTA8D,韩系柔雾,SUCCEEDED,0,0,low,"2026-08-03 19:09:33,939","2026-08-03 19:09:33,940","2026-08-03 19:15:17,954",0.001,344.014,344.015
01KZ58JJF447YT2VERFBJPWGFK,01KZ454ZQTCVAAFQBGXQBMTA8D,韩系柔雾,SUCCEEDED,0,0,low,"2026-08-03 19:10:22,820","2026-08-03 19:10:22,821","2026-08-03 19:14:49,631",0.001,266.810,266.811
